created_at,hashtags,text,BLM
2016-01-23,blacklove blacklivesmatter essencemagazine,"#blacklove, #blacklivesmatter, #essencemagazine
19 month old can read 300 words &amp; count to 50. Teach children. 
 ",positive
2017-01-23,BlackLivesMatter,"RT  : if #BlackLivesMatter becomes ""a thing white people show up for"" then it becomes harder for the authorities to discredit and…",positive
2017-01-25, ,"RT  : Trumpists want a Secret Service agent fired over some anti-Trump posts, but when a cop kills a kid holding a toy gun, it's…",positive
2018-01-27,GreysAnatomy BlackLivesMatter,Jackson’s speech got me like #GreysAnatomy #BlackLivesMatter,neither
2018-01-28,BlueLivesMatter,"RT  : 🔹#BlueLivesMatter🔹Always Have 🔹Always Will🔹

💙 I know there is a community of people that don't appreciate your efforts…",negative
2017-01-29,AllLivesmatter,RT  : It's clear that #AllLivesmatter wasn't a movement but a dismissive response to anyone who actually experienced inequalit…,positive
2017-01-29, ,"If you're mad that Trump's Holocaust statement didn't mention Jews because ""others suffered too,"" now you know why AllLivesMatter hurts.",positive
2018-01-29, ,RT  : Some sad news to report. Detroit Police Officer Glenn Doss has passed away from injuries sustained during a domestic dis…,neither
2018-01-29,Fact KendrickJohnson GBI,RT  : #Fact EVERY Organ is #KendrickJohnson Body was Removed During the Time The #GBI Medical Examiner's office Had His Body…,neither
2017-01-03, ,"RT  : 2016 best moments:

Memes portugueses 🇵🇹  ",neither
2017-01-30,AllLivesMatter,RT  : Has anybody heard from #AllLivesMatter lately?,positive
2018-01-30, ,RT  : Some sad news to report. Detroit Police Officer Glenn Doss has passed away from injuries sustained during a domestic dis…,neither
2016-01-31,SanBernadino BlueLivesMatter 2A NRA PJNET,MT  : Prayer for #SanBernadino. #BlueLivesMatter   #2A #NRA #PJNET,neither
2017-01-05,BlackLivesMatter,RT  : Here's liberals newest fave   promoting the Chicago kidnapping as a #BlackLivesMatter attack because apparently B…,negative
2016-01-07,MartinLutherKing MLK IHAVEADREAM BlackLivesMatter BlackHistory,"Was #MartinLutherKing ’s dream a plot for white supremacy????
#MLK #IHAVEADREAM #BlackLivesMatter #BlackHistory
 ",negative
2019-01-07, ,"RT  : Ed Buck is drugging Black gay men and using them for sexual pleasure.

This is the SECOND Black gay boy to be found in hi…",negative
2019-01-07, ,"RT  : Ed Buck is drugging Black gay men and using them for sexual pleasure.

This is the SECOND Black gay boy to be found in hi…",positive
2017-01-09,BlackLivesMatter,Major liberal donors weigh funding for #BlackLivesMatter  ,positive
2017-10-01,AdrieneLudd BlackLivesMatter,"RT  : 2nd ANNUAL BLACK LOVE BLOCK PARTY
Oct 22 Oak park
We remember #AdrieneLudd and celebrate his life
#BlackLivesMatter 
htt…",positive
2017-10-10,whiteprivilege hardconversations BlackLivesMatter,"RT  : ""...with your family members...""   #whiteprivilege #hardconversations #BlackLivesMatter",positive
2016-10-11,USMC SemperFi VietnamVets Vets USArmy USNavy USAF NavySeal SpecialForces BlueLivesMatter NationalGuard,Thank U for your service #USMC #SemperFi #VietnamVets #Vets #USArmy #USNavy #USAF #NavySeal #SpecialForces #BlueLivesMatter #NationalGuard,neither
2016-10-11, ,RT  : MT  : Thank you!!!!   #BlueLivesMatter #PJNET,neither
2017-10-15, ,Defense definitely came up with a couple of huge and much needed stops in the 4th quarter,neither
2017-10-16,BlackLivesMatter,RT  : #BlackLivesMatter a lil rant for those who don’t understand,neither
2016-10-17,BlackLivesMatter MediaBlackout ClintonKid CantTrustClinton,"  If OBAMA had a Son, he would look like BILL CLINTON'S #BlackLivesMatter #MediaBlackout #ClintonKid  #CantTrustClinton",negative
2017-10-18,BlueLivesMatter,RT  : 61% increase in police officers killed 2016. The war on cops began with Obama. It ends under Trump. #BlueLivesMatter ht…,negative
2016-10-19,BlackLivesMatter,Would have recorded it but snitches get stitches. #BlackLivesMatter,neither
2016-10-20, ,I try to convince myself of that but I live in the All Lives Matter side of town,negative
2017-10-21, ,Guess I'm gonna keep quiet on this one. Hate to be called a racist. Geez they just wanted some free pork chops. Guess they misread sign.  ,negative
2017-10-22,BackTheBlue BlueLivesMatter,"    Good riddance!
#BackTheBlue 
#BlueLivesMatter",neither
2016-10-25,blacklivesmatter tpp socialism,"The TSA's 95 Percent Failure Rate | True News  

#blacklivesmatter #tpp #socialism",neither
2017-10-25,PeterClaver Accompanied Christ BlackLivesMatter,"When They Were Hated by the World RT 
#PeterClaver
Cared4Body1st Then
#Accompanied Them2 #Christ
#BlackLivesMatter
   ",neither
2016-10-26,inspiring mlk blacklivesmatter,"Stop Taking No for an Answer: What We Learned from MLK, Jr   #inspiring #mlk #blacklivesmatter  ",positive
2017-10-26,blacklivesmatter silencekills,RT  : This NYC network uses previously jailed black men for the mission   #blacklivesmatter #silencekills  …,positive
2019-10-26,BREAKING DHS FBI DOD surveillance,"RT  : #BREAKING:So #DHS,#FBI,#DOD labels people ""Black Identity Extremists"" and places them under 24/7 #surveillance for attendin…",neither
2016-10-28, ,"BlackLivesMatter Woman Demands Trump’s Assassination, She Didn’t Expect THIS Severe Backlash!  ",neither
2017-10-29,WhiteLivesMatter BlackLivesMatter,"RT  : How sick are our universities?

Saying #WhiteLivesMatter is ""hate speech.""

Saying #BlackLivesMatter is encouraged and…",negative
2017-10-03,BlueLivesMatter,RT  : #BlueLivesMatter Prayers to the families of these fallen officers 💙🇺🇸 💙,neither
2017-10-30,AmericaFirst Trump2020 BuildTheWall RaiseAct EndDACA MAGA Veterans BlueLivesMatter,"RT  : #AmericaFirst #Trump2020 #BuildTheWall #RaiseAct #EndDACA #MAGA #Veterans #BlueLivesMatter If you don't agree, I DON""T…",negative
2016-10-30,BlackLivesMatter,. : #BlackLivesMatter protesters staged a die-in one month after the death of Keith Lamont Scott.,positive
2017-10-30,alllivesmatter,Are white people not allowed to stand up for themselves?  #alllivesmatter,negative
2017-10-30,morintoon blacklivesmatter GOP Charlotte,RT  : Black lives will truly matter when they stop being shot dead for no reason #morintoon #blacklivesmatter #GOP #Charlotte #Tul…,positive
2016-10-31,BLACKLIVESMATTER COWARDS,"I BACK THE BLUE AND I'LL ALSO EXERCISE MY SECOND AMENDMENT TOO!

#BLACKLIVESMATTER #COWARDS  ",negative
2016-10-31, ,Just seen an All Lives Matter sticker on a car and I never wanted to ram the back of a vehicle so much.,positive
2017-10-31, ,"RT  : She was loading items into the trunk of her car when she was brutally attacked.
 ",neither
2017-10-04,BlueLivesMatter TakeAKnee,RT  : Law enforcement friend sent me this. Damn right. #BlueLivesMatter #TakeAKnee  ,negative
2017-10-04,BlackLivesMatter,"Black NFL players continue their defiance of White Supremacist Donald Trump. - THANK YOU #BlackLivesMatter 
 ",positive
2016-10-06,AllLivesMatter PRAYToEndAbortion,"RT  : ✨💗✨Jesus said I have not come to condemn the world but toSAVEthe world
✨John12:47
#AllLivesMatter
#PRAYToEndAbortion htt…",neither
2017-10-07, ,"RT  : ATTN: If the FBI comes to talk to you, politely tell them you'll only speak to them with a lawyer. I can't stress this eno…",positive
2018-10-07, ,"RT  : So Collins misses her moment to be a hero, and the old bulls win again.  Trump, McConnell, Grassley, Hatch, Graham — the whole…",neither
2016-11-11,AllLivesMatter TrumpPence16 Brexit LeaveEU CloseOurBorders Bluehand,Well said! #AllLivesMatter #TrumpPence16 #Brexit #LeaveEU #CloseOurBorders #Bluehand,negative
2017-11-13,BlackLivesMatter,Congratulations  ! A well deserved honor! #BlackLivesMatter✊🏾,positive
2017-11-14, ,RT  : sitting around waiting for ya blessing ain’t gonna help it come faster. WORK,neither
2016-11-16,alllivesmatter,It would be nice to have a ring that fits my finger. I wear a size 5 and according to AMERICAN STANDARDS THAT IS NOT NORMAL #alllivesmatter,neither
2017-11-17, ,"RT  : Police Officers:
""THE UNWANTED, UNDERPAID, WHO WILL GO UNAPPRECIATED, DOING THE UNTHINKABLE FOR THE UNGRATEFUL.""
God B…",neither
2016-11-17, ,"RT  : Our police officers are going to have to get used to getting the RESPECT they deserve.
Help's on the way, guys.

#BlueLive…",neither
2019-11-17,veterans bluelivesmatter agsessions,UPDATE: Richardson: Dems Heading Toward Brokered Convention  #veterans #bluelivesmatter   #agsessions,neither
2017-11-18, ,"RT  : RIP baby girl. What do you think the sentence should be for this oxygen-thief? WARNING: Story not for faint of heart.
htt…",positive
2016-11-18,Watches Amazon,RT  : #Watches #Amazon #5: Weide Mens Chrono Black Dial Stainless Steel Swiss Quartz Watch,neither
2019-11-19,BlackLivesMatter,"Day 1 in India: I know what it's like to be black in America, everyone stares at you when you stick out. #BlackLivesMatter",positive
2017-11-02,TakeAKneeNFL BlackLivesMatter,"#TakeAKneeNFL is just about the most respectful protest one could make, and it infuriates some people. Guess it's working. #BlackLivesMatter",positive
2017-11-02,BlackLivesMatter,Aaron Peirano Garrison's Questions of Justice: Officers of Color in Era of #BlackLivesMatter screened   to acclaim,positive
2016-11-23,Respect BlueLivesMatter RedNationRising MAGA,"RT  : Enough is Enough
Stop the war on our Brothers and Sisters.

#Respect 
#BlueLivesMatter 🙏🏻💙
#RedNationRising 📈
#MAGA 🇺🇸  ",negative
2016-11-23,bluelivesmatter,RT  : President-elect Trump standing by the blue - #bluelivesmatter ==&gt;,negative
2016-11-24,BlueLivesMatter Thanksgiving,"RT  : Please pray for the safety of our law enforcement officers.
They have families, too.

#BlueLivesMatter #Thanksgiving  ",positive
2016-11-24,BlueLivesMatter Thanksgiving,"RT  : Please pray for the safety of our law enforcement officers.
They have families, too.

#BlueLivesMatter #Thanksgiving  ",neither
2016-11-25, ,"WHERE IS OBAMA??? WHY IS OUR ""PRESIDENT"" NOT ADDRESSING THIS ANIMALISTIC, VIOLENT BEHAVIOR???  ",positive
2016-11-26,BlackLivesMatter,RT  : #BlackLivesMatter blocking an ambulance in Chicago. They should be thankful I wasn't driving......  ,neither
2016-11-26,Veterans NRA BlueLivesMatter CCOT TCOT BackThePolice,RT  : This is one reason we stand when the National Anthem is played. #Veterans #NRA #BlueLivesMatter #CCOT #TCOT #BackThePolice h…,positive
2016-11-28,BlackLivesMatter,"Wait, a white cop shot a black dude? So is #BlackLivesMatter gonna riot?  ",negative
2016-11-28,BlackLivesMatter,"Please #BlackLivesMatter, echo this, pleaseeeee  ",positive
2016-11-29,blacklivesmatter WHITElivesmatter,#blacklivesmatter ???? Uh.... to who??? Not ME...... #WHITElivesmatter ..,negative
2016-11-29, ,RT  : This hero   at   ended today's terrorist attack! Thank You Officer Horujko   #Oh…,neither
2016-11-30,SAPDStrong BlueLivesMatter,RT  : #SAPDStrong #BlueLivesMatter   thank you for caring &amp; acknowledging tragedy of lost officers &amp; the grie…,neither
2016-11-30, ,"Black Lives Matter Voices Support For Castro, Harboring Cop-Killers   via  ",negative
2016-11-30,blacklivesmatter StandingRock,"RT  : Times interstate law was called in (outside of natural disasters): #blacklivesmatter, #StandingRock actions:  ",neither
2017-11-04,BlackLivesMatter,RT  : I’m appalled by how   spoke to StarParker.Sir your party screams #BlackLivesMatter yet u shame a black woman #NoProLi…,neither
2016-11-04,ThinBlueLine BlueLivesMatter PJNET,MT  : Land of the free. Home of the brave! #ThinBlueLine   #BlueLivesMatter #PJNET,neither
2016-11-06,alllivesmatter blacklivesmatter bluelivesmatter,  &lt;-Sexy Girl Getting Fucked And Face Splooged #alllivesmatter #blacklivesmatter #bluelivesmatter,neither
2016-11-07,bluelivesmatter blacklivesmatter,RT  : Now Clash in Mount Greenwood between #bluelivesmatter &amp; #blacklivesmatter after chicago Police shoot &amp; kill Joshua Beal…,neither
2019-11-08,BlueLivesMatter,"“It’s harder for the county police to recruit now” Bush said. “He’s going to find when we start running out of police officers that this wasn’t worth it, and there are real world consequences to his very political, ideological drive.
#BlueLivesMatter
 ",negative
2016-11-09,legalize cannabis AllLivesMatter THC CBD ECS,"Cannabis Could Save Millions of Lives on Earth
""Who We Are""
 

#legalize #cannabis #AllLivesMatter #THC #CBD #ECS",neither
2016-12-10, ,"RT  : BREAKING: Officer Down in Leland North Carolina
 ",neither
2017-12-10, ,RT  : The execution of working class and poor whites by white police messes up white nationalist narrative so there is silence.…,negative
2016-12-12,AMERICA BLACKLIVESMATTER,"LET HIM GO FREE #AMERICA HE WAS ONLY PLAYING, HE DIDN'T MEAN IT. HIS CULTURE AND WAY OF LIFE IS UNDER ATTACK. #BLACKLIVESMATTER 4GIVHIM  ",positive
2019-12-12,JCPD,RT  : RARE OCCURRENCE:   seen in New Jersey at the scene of the active shooting in Jersey City. One #JCPD officer wa…,neither
2017-12-13, ,"RT  : Alabama Exit Polls:
(Vote by Race)

Black Voters
Jones 95%
Moore 5%

White Voters
Moore 70%
Jones 27%

Black Voters sent…",neither
2017-12-13,brothersinblue bluelivesmatter thinblueline,"Love, hugs, &amp; prayers to our #brothersinblue #bluelivesmatter #thinblueline Thank you for protecting us!  ",neither
2016-12-16,RussellLee SayHerName BlackLivesMatter BLM,"  RT&amp;Purchase:
{G.O.V.}:Black Lives Matter     #RussellLee #SayHerName #BlackLivesMatter #BLM  ",positive
2016-12-16,alllivesmatter,🖕 you forgot about the Simpsons 🖕#alllivesmatter,negative
2016-12-16,bluelivesmatter,RT  : That's not nice. #bluelivesmatter,neither
2017-12-17, ,RT  : Pasadena police seen breaking Christopher Ballew's leg and slamming his head into the pavement in newly released arrest vi…,neither
2017-12-19,PeoplesMonday EdsonThevenin BlackLivesMatter,RT  : #PeoplesMonday in the streets of NYC for #EdsonThevenin while NYPD follows closely. #BlackLivesMatter  ,positive
2016-12-21,BlackDisabledLivesMatter BlackLivesMatter,RT  : Disgusting! #BlackDisabledLivesMatter #BlackLivesMatter  ,positive
2017-12-22,BlueLivesMatter BackTheBlue,"RT  : Papa John's CEO John Schnatter Is Out After Criticizing NFL Kneelers
#BlueLivesMatter #BackTheBlue

Full Story:  ",neither
2016-12-24,car hotrod startup harley blacklivesmatter,RT  : Business of your own. Waterless Car-Wash.   #car #hotrod #startup #harley #blacklivesmatter…  ,neither
2016-12-26,BlackLivesMatter Dems,Progressives: Liberals Just Aren’t Into You. It’s Time To Move Out Of The Big Tent | Blog#42   #BlackLivesMatter #Dems,neither
2019-12-28, ,"RT  : I’m more focused than I’ve ever been! I don’t have time for NOBODY bullshit , idgaf who you are, SNIP SNIP HOE!",neither
2016-12-29,BlueLivesMatter,RT  : Michael Brown was shot in 2014. That same year 126 cops were killed... can you name any of them? #BlueLivesMatter #DrainTheM…,negative
2016-12-04,BenRoethlisberger,"RT  : BREAKING:   #BenRoethlisberger Honors fallen K-9 Hero
 ",neither
2017-12-04,BoycottNFL,"RT  : Looks like the NFL is on ITS KNEES 😂 

Empty seats outnumber the actual spectators 

NFL = No👉Fans👉Left 

#BoycottNFL 
#B…",negative
2016-12-04,BlueLivesMatter,RT  : hm. where is #BlueLivesMatter?,negative
2016-12-04,stopabusingblackkids blacklivesmatter,RT  : Please share and bring awareness to this incident. #stopabusingblackkids   #blacklivesmatter  …,positive
2016-12-05,BlueLivesMatter,RT  : Heartbreaking! This female officer was 25 years old!  Thanks Obama for the War on Our Police Officers! #BlueLivesMatter…,negative
2016-12-05,BlueLivesMatter,RT  : hm. where is #BlueLivesMatter?  ,negative
2016-12-06,alllivesmatter blacklivesmatter bluelivesmatter,  &lt;-WCG: Her Pain Is Your Gain. #alllivesmatter #blacklivesmatter #bluelivesmatter,neither
2016-12-06,BlackLivesMatter,"RT  : Shot. In. The. Back. Running away. On video. Inexplicable, infuriating, tragic. #BlackLivesMatter.  ",positive
2017-12-06,BlackLivesMatter,RT  :     Have you seen this Liberals #BlackLivesMatter ⁉️  Are we staying SILENT on THIS…,positive
2016-12-08,hairspraylive blacklivesmatter,RT  : TBH if you love #hairspraylive but don't support #blacklivesmatter kindly delete yourself,positive
2016-12-09, ,lol what  ,neither
2017-12-09,FindOurGirls ProtectOurWomen BlackLivesMatter,"RT  : At least 64,000 black women have gone missing in America since 2014!!! #FindOurGirls #ProtectOurWomen #BlackLivesMatter  ",positive
2017-02-01, ,RT  : Is that right? NOTHING you've seen before this has been enough to make you ashamed? Interesting. Good to know fam. #blacklives…,positive
2019-02-01, ,"RT  : NY Trooper Timothy Conklin, 28, is out of the hospital after a shootout with armed suspect Nicholas Philhower who started…",neither
2019-02-10,AsylumIsLegalImmigration AllLivesMatter TrumpsAreADisasterForAmerica,"RT  : WELCOME THE LATINOS! 
#AsylumIsLegalImmigration #AllLivesMatter 

KICK OUT THE TRUMPS! #TrumpsAreADisasterForAmerica #…",positive
2016-02-10,BLACKLIVESMATTER,"KEEPING MY NEW YEAR RESOLUTIONS...MENTORSHIP!
WORLD HOPE
EVERY MORNING 4 LENT!
TEACHING ON-
WHY GOD WANTS US ALL TO KNOW
#BLACKLIVESMATTER",neither
2020-02-10, ,"McCusker gavels in with OCO (that's ""overseas contingency operations"" aka Iraq, Syria, Afghanistan, and European Deterrence Initiative for those of you following along at home). We haven't even hit Q&amp;A at 19:44 and we're threatening Double BINGO along the East-West axis",neither
2019-02-11, ,"RT  : Va. Delegate backs off from impeachment plans for Lt. Governor Justin Fairfax  

How the hell can you impeach Fairfax…",neither
2018-02-11,BlackLivesMatter,"NYPD precinct’s Twitter uses #BlackLivesMatter, draws cops’ ire - NY Daily News  ",neither
2018-02-11,HKonJ,"RT  : WWP contingent marching in #HKonJ today in NC, alongside   and others! Topple racism, jobs not cops! #SmashWhiteSu…",positive
2016-02-12,BlackLivesMatter NoJusticeNoPeace,  This news frustrates me on so many levels. #BlackLivesMatter #NoJusticeNoPeace,positive
2016-02-12,BlackLivesMatter,then came in billionaire George Soro who funded the #BlackLivesMatter movement using blk ppl with a divide and conquer strategy!,negative
2018-02-12, ,"RT  : Some sad news to report. Westerville, Ohio Police Officers Anthony Morelli and Eric Joering have died in the line of dut…",neither
2018-02-12, ,RT  : Dear Follow Resistor's please watch. For us it's not only getting this administration out but also it's past time to e…,positive
2018-02-13,AnthonyWeber BlackLivesMatter," 
""Where's the gun? Where's the gun?"" John Weber asked sheriff's officials...""I know where the bullets are — they're right in my baby's back,"" he yelled.
#AnthonyWeber, dead at age 16.😭#BlackLivesMatter 
       ",neither
2020-02-13, ,"RT  : There are no words for how reprehensible this is. Metro riders are trying to live their lives, get to school, to work,…",positive
2018-02-14,MeToo," ,   Valentine's Day from a #MeToo fan.  We need to be mindful that we are all diverse and to try not to judge people too quickly.  In solidarity for all humanity, the world needs lots of love now!  :)  ",neither
2018-02-14,schoolshooting Parkland,"Praying for the students, teachers, and first responders in this tragic situation unfolding in South Florida. #schoolshooting #Parkland  ",positive
2016-02-14,Justice4MarioWoods BlackLivesMatter,speaks at the   meeting tonight #Justice4MarioWoods #BlackLivesMatter,positive
2016-02-15,GeerStrong gjco thinblueline BlueLivesMatter,View and share our #GeerStrong photo gallery here:   #gjco #thinblueline #BlueLivesMatter,neither
2016-02-17, ,"by saying ""all lives matter"" you are completely ignoring the struggles that PoC go through, because they are PoC.",positive
2020-02-19,BlackLivesMatter TrayvonMartin,Stupid man tries a stupid lawsuit.     #BlackLivesMatter #TrayvonMartin  ,positive
2020-02-19, ,RT  : me playing papas pizzeria on coolmath,neither
2016-02-02,BanTrophyHunting OpSafariKill AllLivesMatter,"Please vote to Oppose S. 405, the Sportsmen's Act of 2015 #BanTrophyHunting #OpSafariKill #AllLivesMatter.",neither
2018-02-02,BlackLivesMatter BlackFuturesMonth,"RT  : #BlackLivesMatter is celebrating February by recognizing #BlackFuturesMonth and a black feminist future for all of us, a speci…",positive
2018-02-02, ,"RT  : Check out more information about the National Memorial for Peace and Justice on FB as well:   

#America…",neither
2019-02-20, ,RT  : 🚨🚨🕊️✝️🇺🇸 Just so everyone is aware... Lighting yourself on fire to protest   🔥🚒isnt a good excuse to be…,neither
2016-02-21,BlackLivesmatter,"      What's not ""breaking news""? He's white and alive. #BlackLivesmatter",neither
2017-02-23,ProtectTransKids BlackLivesMatter,"RT  : So, let's talk intersectionality in this #ProtectTransKids discussion because #BlackLivesMatter .",neither
2017-02-24,thinblueline police BlueLivesMatter PJNET,MT  : Bit of motivation for a Thursday!             #thinblueline #police   #BlueLivesMatter #PJNET,negative
2016-02-26,Socialism Racism BlackLivesMatter antiracism,"#Socialism, Popular Education, and the Fight Against #Racism in the USSR:   #BlackLivesMatter #antiracism",positive
2017-02-26, ,"Over 20 injured, 12 Critical, After Truck Plows Through Parade Crowd In New Orleans   via  ",neither
2018-02-26, ,Short thread  ,neither
2017-02-26,PJNET BlueLivesMatter BackTheBlue,"RT  : Police officers will give up their lives for us all. THANK YOU! 

#PJNET #BlueLivesMatter #BackTheBlue  ",negative
2017-02-26,trayvonmartin hislifemattered blackhistorymonth blacklivesmatter,Because his life mattered. #trayvonmartin #hislifemattered #blackhistorymonth #blacklivesmatter,positive
2018-02-26,SouthCarolina TrumpTrain,RT  : 🚨🚨🚨🚨🚨🚨#SouthCarolina Are you ready to fight and elect a great American Patriot?? Get on the #TrumpTrain and fight for  …,neither
2017-02-27, ,Typical. Her Schtick was all about white men.  ,neither
2017-02-27,NotMyPresident blacklivesmatter Trumpleaks U2 WomensMarch MuslimBan Resist,"STOP THE COVER UP IN CONGRESS  
#NotMyPresident #blacklivesmatter #Trumpleaks #U2 #WomensMarch #MuslimBan #Resist
   ",neither
2018-02-27, ,Ex-School Resource Officer Defends His Actions During School Massacre   via  ,neither
2018-02-27, ,Thank you,neither
2017-02-28,BlackLivesMatter TrayvonMartin,RT  : #BlackLivesMatter Finds 'Renewed Focus' 5 Years After #TrayvonMartin      …,neither
2016-02-29,alllivesmatter,I'm not generalizing I'm speaking truth. Please don't #alllivesmatter my point. Your community has anti Blackness. If you don't,positive
2018-02-03,BlueLivesMatter FBI,RT  : How do all the #BlueLivesMatter folks feel about  's incessant and reckless public attacks on the #FBI? A…,positive
2016-02-04,BlackLivesMatter,"#BlackLivesMatter activist   files to run for Baltimore mayor,   reports:  ",positive
2017-02-04,H slabline blacklivesmatter,RT  : #H-town #slabline #blacklivesmatter,neither
2017-02-04,ThankYou Service Dedication Sacrifice AllLivesMatter BlueLivesMatter,"RT  : EVERY DAY!
#ThankYou 
🇺🇸✨👮🏻✨🇺🇸
For #Service
For #Dedication
For #Sacrifice
#AllLivesMatter 
#BlueLivesMatter
#RedNationR…",neither
2018-02-04, ,"""WHEREAS, schools should be places for the practice of equity, for the building of understanding, and for the active engagement of all in creating pathways to freedom and justice for all people..."" Amen to that. Well done, PG County.  ",positive
2019-02-04, ,"RT  : thanks for the super bowl full of nice words, everyone! because we live in a complicated world, i will donating some of my…",neither
2016-02-05,MLK CivilRightsAct BlackLivesMatter,  went to Milln Man March to hear #MLK &amp;   supported candidates vowing to end #CivilRightsAct #BlackLivesMatter,negative
2016-02-05,BlackHistoryMonth BlackLivesMatter,"You miss Me by Greatness, Laugh at me with hatfulness. #BlackHistoryMonth #BlackLivesMatter",neither
2019-02-05,BlackLivesMatter RIP,"RT  : Happy Birthday, Trayvon Martin!

We won't forget! #BlackLivesMatter #RIP  ",positive
2016-02-06,AllLivesMatter,your mcm has #AllLivesMatter in his bio,neither
2018-02-06, ,"RT  : Before running a pro-Trump Super PAC, Sheriff David Clarke denied the existence of police brutality and equated #BlackLive…",positive
2016-02-07,formation beyonce bey blacklivesmatter PMathis bosslady,I'm ready to do my part. Are you? #formation #beyonce #bey #blacklivesmatter #PMathis #bosslady…  ,positive
2018-02-07, ,"RT  : Let me get this straight. 

NFL players are taking a knee to protest a ""racist"" president who wants border security to prev…",negative
2018-02-07,BlackLivesMatter,RT  : happy birthday sandra bland.  you would have been 31 years old today. #BlackLivesMatter,positive
2016-02-08,BlackLivesMatter,Melanin Monday! #BlackLivesMatter ✊🏼✊🏽✊🏾✊🏿,positive
2018-02-08,BlackLivesMatter,RT  : We have just learned South Carolina #BlackLivesMatter activist Muhiyidin d'Baha has died after being shot in New Orleans.…,neither
2016-02-09,RudyGiuliani RepPeterKing BlueLivesMatter,Thank you #RudyGiuliani and #RepPeterKing for walking the walk.....#BlueLivesMatter  ,negative
2016-01-05,blacklivesmatter Urbana15 Sojourners,Please read &amp; sign in support of InterVarsity's advovacy of #blacklivesmatter at #Urbana15 #Sojourners,positive
2016-01-06,BlackLivesMatter Blackhistorymatters,You go!  #BlackLivesMatter #Blackhistorymatters,neither
2016-01-09,Thankyou Police BlueLivesMatter WeGotYourBack PoliceAppreciationDay Trump,"#Thankyou #Police #BlueLivesMatter #WeGotYourBack #PoliceAppreciationDay January 9, 2016. God bless you. #Trump   ",neither
2016-02-06,BlackLivesMatter SaveOurYouth FF PEP RT,Visit our youth program that's opening March 2016! Follow   &amp; check the updates. #BlackLivesMatter #SaveOurYouth #FF #PEP #RT,positive
2016-02-11,F BlackLivesMatter ParisAttacks tcot,Seen this ? ‘#F**kParis’ — ‘ #BlackLivesMatter ’ Show True Colors On Twitter - #ParisAttacks #tcot,neither
